country,original_title,genre,avg_vote,votes,budget,worlwide_gross_income,year
USA,Mortal Kombat,Action,5.8,99852,"$18,000,000.00","$122,195,920.00",1995
USA,Mousehunt,Comedy,6.5,50512,"$38,000,000.00","$122,417,389.00",1997
USA,Invictus,Biography,7.3,147583,"$60,000,000.00","$122,426,792.00",2009
USA,Surrogates,Action,6.3,167372,"$80,000,000.00","$122,444,772.00",2009
USA,Spirit: Stallion of the Cimarron,Animation,7.1,63449,"$80,000,000.00","$122,563,539.00",2002
China,Tian jiang xiong shi,Action,6,18069,"$65,000,000.00","$122,606,884.00",2015
USA,Zombieland: Double Tap,Action,6.7,125294,"$42,000,000.00","$122,810,399.00",2019
USA,Volcano,Action,5.5,70963,"$90,000,000.00","$122,823,468.00",1997
UK,The Pirates! In an Adventure with Scientists!,Animation,6.7,44121,"$55,000,000.00","$123,054,041.00",2012
USA,The Lego Ninjago Movie,Animation,6,21770,"$70,000,000.00","$123,081,555.00",2017
USA,The Curse of la Llorona,Horror,5.3,35088,"$9,000,000.00","$123,133,739.00",2019
USA,Big Fish,Adventure,8,408409,"$70,000,000.00","$123,218,424.00",2003
USA,Nanny McPhee,Comedy,6.5,66040,"$25,000,000.00","$123,276,807.00",2005
USA,The Wedding Singer,Comedy,6.8,132079,"$18,000,000.00","$123,306,987.00",1998
UK,The Queen,Biography,7.3,102517,"$9,800,000.00","$123,384,128.00",2006
UK,The Theory of Everything,Biography,7.7,390356,"$15,000,000.00","$123,726,688.00",2014
USA,The Time Machine,Action,6,117239,"$80,000,000.00","$123,729,176.00",2002
USA,"Good Morning, Vietnam",Biography,7.3,123551,"$13,000,000.00","$123,922,370.00",1987
USA,Ray,Biography,7.7,136097,"$40,000,000.00","$123,971,376.00",2004
USA,The Thomas Crown Affair,Crime,6.8,85504,"$48,000,000.00","$124,305,181.00",1999
USA,Coraline,Animation,7.7,190867,"$60,000,000.00","$124,596,837.00",2009
USA,Ride Along 2,Action,5.9,52409,"$40,000,000.00","$124,608,438.00",2016
USA,The Family Man,Comedy,6.8,101225,"$60,000,000.00","$124,745,083.00",2000
USA,Donnie Brasco,Biography,7.7,271973,"$35,000,000.00","$124,909,762.00",1997
USA,"Legally Blonde 2: Red, White & Blonde",Comedy,4.8,60267,"$45,000,000.00","$124,914,842.00",2003
USA,Rocky III,Drama,6.8,169852,"$17,000,000.00","$125,049,125.00",1982
USA,First Blood,Action,7.7,221509,"$15,000,000.00","$125,212,904.00",1982
USA,Captain Underpants: The First Epic Movie,Animation,6.2,24337,"$38,000,000.00","$125,427,681.00",2017
USA,Happy Death Day,Horror,6.6,110766,"$4,800,000.00","$125,479,266.00",2017
USA,Ender's Game,Action,6.6,220351,"$110,000,000.00","$125,544,024.00",2013
USA,I Know What You Did Last Summer,Horror,5.7,130567,"$17,000,000.00","$125,586,134.00",1997
China,Midway,Action,6.7,57789,"$100,000,000.00","$125,619,985.00",2019
USA,Mechanic: Resurrection,Action,5.7,74364,"$40,000,000.00","$125,729,635.00",2016
China,Le dernier loup,Adventure,6.7,5430,"$38,000,000.00","$125,837,070.00",2015
USA,The Upside,Comedy,6.9,42810,"$37,500,000.00","$125,856,180.00",2017
USA,This Is the End,Comedy,6.6,378295,"$32,000,000.00","$126,041,322.00",2013
USA,Sex Tape,Comedy,5.1,105883,"$40,000,000.00","$126,069,509.00",2014
USA,L.A. Confidential,Crime,8.2,521530,"$35,000,000.00","$126,216,940.00",1997
USA,Parenthood,Comedy,7,43837,"$20,000,000.00","$126,297,830.00",1989
UK,Walking with Dinosaurs 3D,Animation,5.2,10527,"$80,000,000.00","$126,546,518.00",2013
USA,Chronicle,Drama,7,237285,"$12,000,000.00","$126,636,097.00",2012
USA,Smokey and the Bandit,Action,7,44183,"$4,300,000.00","$126,737,428.00",1977
USA,Predators,Action,6.4,208732,"$40,000,000.00","$127,233,108.00",2010
Germany,Hide and Seek,Drama,6,80522,"$30,000,000.00","$127,369,981.00",2005
China,Ad Astra,Adventure,6.6,185308,"$90,000,000.00","$127,461,872.00",2019
USA,First Knight,Action,6,66646,"$55,000,000.00","$127,600,435.00",1995
France,U-571,Action,6.6,75749,"$62,000,000.00","$127,666,415.00",2000
USA,The Adjustment Bureau,Romance,7,240237,"$50,200,000.00","$127,869,379.00",2011
USA,Law Abiding Citizen,Action,7.4,266764,"$50,000,000.00","$127,944,208.00",2009
USA,Blended,Comedy,6.5,115899,"$40,000,000.00","$127,994,610.00",2014
France,Astérix & Obélix: Mission Cléopâtre,Adventure,6.6,48035,"$327,000,000.00","$128,027,976.00",2002
USA,A Perfect Murder,Crime,6.5,77686,"$60,000,000.00","$128,038,368.00",1998
USA,Step Brothers,Comedy,6.9,263102,"$65,000,000.00","$128,107,642.00",2008
USA,Pan,Adventure,5.7,59211,"$150,000,000.00","$128,388,320.00",2015
USA,The Heartbreak Kid,Comedy,5.8,84805,"$60,000,000.00","$128,453,183.00",2007
USA,The Forbidden Kingdom,Action,6.6,100248,"$55,000,000.00","$128,792,411.00",2008
USA,The Talented Mr. Ripley,Crime,7.4,178076,"$40,000,000.00","$128,798,265.00",1999
USA,Space Cowboys,Action,6.4,72407,"$65,000,000.00","$128,884,132.00",2000
UK,The Woman in Black,Drama,6.4,171955,"$17,000,000.00","$128,955,898.00",2012
USA,The Fighter,Biography,7.8,334145,"$25,000,000.00","$129,190,869.00",2010
Germany,Resident Evil: Apocalypse,Action,6.2,183375,"$45,000,000.00","$129,342,769.00",2004
USA,Julie & Julia,Biography,7,105146,"$40,000,000.00","$129,540,522.00",2009
China,Chi bi,Action,7.4,43108,"$553,632,000.00","$129,710,514.00",2008
USA,An Officer and a Gentleman,Drama,7,48093,"$7,500,000.00","$129,795,554.00",1982
USA,Jingle All the Way,Adventure,5.6,89388,"$60,000,000.00","$129,832,389.00",1996
USA,Mean Girls,Comedy,7,324817,"$17,000,000.00","$130,125,971.00",2004
USA,Cheaper by the Dozen 2,Adventure,5.5,53650,"$60,000,000.00","$130,154,568.00",2005
USA,Failure to Launch,Comedy,5.6,72858,"$50,000,000.00","$130,224,158.00",2006
USA,AVPR: Aliens vs Predator - Requiem,Action,4.7,114294,"$40,000,000.00","$130,290,885.00",2007
USA,Cloud Atlas,Action,7.4,340313,"$102,000,000.00","$130,482,868.00",2012
UK,About a Boy,Comedy,7,169283,"$30,000,000.00","$130,549,455.00",2002
USA,A Bad Moms Christmas,Comedy,5.6,40110,"$28,000,000.00","$130,560,428.00",2017
Canada,The Invisible Man,Horror,7.1,129805,"$7,000,000.00","$130,620,744.00",2020
USA,"You, Me and Dupree",Comedy,5.6,77597,"$54,000,000.00","$130,628,903.00",2006
USA,Man on Fire,Action,7.7,323807,"$70,000,000.00","$130,834,852.00",2004
France,Munich,Action,7.5,208522,"$70,000,000.00","$130,982,129.00",2005
USA,Wolf,Drama,6.2,51649,"$70,000,000.00","$131,002,597.00",1994
UK,Atonement,Drama,7.8,243585,"$30,000,000.00","$131,016,624.00",2007
USA,Boomerang,Comedy,5.5,25363,"$42,000,000.00","$131,052,444.00",1992
USA,The School of Rock,Comedy,7.1,262543,"$35,000,000.00","$131,095,614.00",2003
USA,Blade,Action,7.1,240114,"$45,000,000.00","$131,183,530.00",1998
USA,Aliens,Action,8.3,639500,"$18,500,000.00","$131,384,634.00",1986
USA,Bewitched,Comedy,4.8,67997,"$85,000,000.00","$131,426,169.00",2005
USA,The House with a Clock in Its Walls,Comedy,6,43067,"$42,000,000.00","$131,457,147.00",2018
USA,Seven Years in Tibet,Adventure,7.1,124739,"$70,000,000.00","$131,457,682.00",1997
USA,Save the Last Dance,Drama,6.2,56471,"$13,000,000.00","$131,706,809.00",2001
France,Astérix aux jeux olympiques,Adventure,5.2,27160,"$78,000,000.00","$131,856,927.00",2008
USA,2 Guns,Action,6.7,192738,"$61,000,000.00","$131,940,411.00",2013
USA,Blade: Trinity,Action,5.9,163547,"$65,000,000.00","$131,977,904.00",2004
USA,The Three Musketeers,Action,5.7,101840,"$75,000,000.00","$132,274,484.00",2011
USA,A League of Their Own,Comedy,7.3,91488,"$40,000,000.00","$132,440,069.00",1992
USA,V for Vendetta,Action,8.2,1009729,"$54,000,000.00","$132,511,035.00",2005
USA,Ghost Rider: Spirit of Vengeance,Action,4.3,109111,"$57,000,000.00","$132,563,930.00",2011
USA,A Wrinkle in Time,Adventure,4.2,39933,"$100,000,000.00","$132,675,864.00",2018
USA,Zero Dark Thirty,Drama,7.4,266498,"$40,000,000.00","$132,820,716.00",2012
USA,1408,Fantasy,6.8,252014,"$25,000,000.00","$132,963,417.00",2007
France,The Artist,Comedy,7.9,227320,"$15,000,000.00","$133,432,856.00",2011
USA,The Big Short,Biography,7.8,348890,"$28,000,000.00","$133,440,870.00",2015
China,Point Break,Action,5.3,57369,"$105,000,000.00","$133,718,711.00",2015
USA,Hot Shots! Part Deux,Action,6.6,82929,"$25,000,000.00","$133,752,825.00",1993
Japan,Gekijô-ban poketto monsutâ: Maboroshi no pokemon: Rugia bakutan,Animation,6.1,20339,"$30,000,000.00","$133,949,270.00",1999
USA,The Cat in the Hat,Adventure,3.9,51054,"$109,000,000.00","$133,960,541.00",2003
USA,Scent of a Woman,Drama,8,253857,"$31,000,000.00","$134,095,253.00",1992
USA,Black Rain,Action,6.7,48545,"$30,000,000.00","$134,212,055.00",1989
USA,Inspector Gadget,Action,4.1,44636,"$90,000,000.00","$134,403,112.00",1999
USA,Last Vegas,Comedy,6.6,126219,"$28,000,000.00","$134,409,025.00",2013
USA,Sense and Sensibility,Drama,7.6,99493,"$16,000,000.00","$134,582,776.00",1995
USA,The Princess Diaries 2: Royal Engagement,Comedy,5.8,72487,"$40,000,000.00","$134,734,481.00",2004
USA,Wall Street: Money Never Sleeps,Drama,6.2,96951,"$70,000,000.00","$134,748,021.00",2010
USA,American Made,Action,7.2,153394,"$50,000,000.00","$134,866,593.00",2017
Germany,Perfume: The Story of a Murderer,Crime,7.5,231194,"$60,000,000.00","$135,039,924.00",2006
USA,A Perfect World,Crime,7.6,72342,"$30,000,000.00","$135,130,999.00",1993
France,Babel,Drama,7.4,285300,"$25,000,000.00","$135,330,182.00",2006
USA,Jack Ryan: Shadow Recruit,Action,6.2,120924,"$60,000,000.00","$135,503,748.00",2014
UK,Unknown,Action,6.8,244812,"$30,000,000.00","$135,710,029.00",2011
Canada,Saw 3D,Horror,5.6,88695,"$20,000,000.00","$136,150,434.00",2010
USA,Lost in Space,Action,5.2,68685,"$80,000,000.00","$136,159,423.00",1998
USA,17 Again,Comedy,6.3,176232,"$20,000,000.00","$136,316,880.00",2009
USA,The Bounty Hunter,Action,5.6,119522,"$40,000,000.00","$136,333,522.00",2010
Japan,Kaze tachinu,Animation,7.8,70175,"$30,000,000.00","$136,454,220.00",2013
United Arab Emirates,Contagion,Action,6.7,274278,"$60,000,000.00","$136,515,867.00",2011
China,Jue di tao wang,Action,5.7,18800,"$32,000,000.00","$136,579,287.00",2016
USA,Remember the Titans,Biography,7.8,194366,"$30,000,000.00","$136,706,683.00",2000
USA,The Godfather: Part III,Crime,7.6,350452,"$54,000,000.00","$136,766,062.00",1990
UK,The Best Exotic Marigold Hotel,Comedy,7.2,88913,"$10,000,000.00","$136,836,156.00",2011
USA,Annie,Comedy,5.3,33381,"$65,000,000.00","$136,853,506.00",2014
USA,Anaconda,Action,4.8,93995,"$45,000,000.00","$136,885,767.00",1997
USA,Conspiracy Theory,Action,6.7,92187,"$75,000,000.00","$136,982,834.00",1997
USA,The First Purge,Action,5.2,52322,"$13,000,000.00","$137,056,262.00",2018
USA,Last Action Hero,Action,6.4,134068,"$85,000,000.00","$137,298,489.00",1993
USA,Escape Plan,Action,6.7,223688,"$50,000,000.00","$137,328,301.00",2013
UK,Stardust,Adventure,7.6,250243,"$70,000,000.00","$137,515,140.00",2007
USA,Bridge to Terabithia,Drama,7.1,140410,"$17,000,000.00","$137,587,063.00",2007
USA,Far and Away,Adventure,6.6,57850,"$60,000,000.00","$137,783,840.00",1992
USA,Let's Be Cops,Action,6.4,125969,"$17,000,000.00","$138,224,951.00",2014
USA,America's Sweethearts,Comedy,5.7,53988,"$46,000,000.00","$138,307,673.00",2001
South Korea,Myeong-ryang,Action,7.1,9991,"$9,500,000.00","$138,342,258.00",2014
USA,Platoon,Drama,8.1,373386,"$6,000,000.00","$138,545,632.00",1986
USA,Bird on a Wire,Action,6,39246,"$20,000,000.00","$138,697,012.00",1990
USA,Brüno,Comedy,5.8,139029,"$42,000,000.00","$138,805,831.00",2009
Canada,Saw IV,Horror,5.9,137921,"$10,000,000.00","$139,352,633.00",2007
USA,The Wolfman,Drama,5.8,101634,"$150,000,000.00","$139,789,765.00",2010
USA,Anastasia,Animation,7.2,109297,"$50,000,000.00","$139,804,348.00",1997
USA,Hoodwinked!,Animation,6.4,55428,"$30,000,000.00","$139,998,200.00",2005
USA,Legend of the Guardians: The Owls of Ga'Hoole,Animation,6.9,76832,"$80,000,000.00","$140,073,390.00",2010
UK,Lion,Biography,8,206737,"$12,000,000.00","$140,312,928.00",2016
USA,Step Up Revolution,Drama,6.4,53159,"$33,000,000.00","$140,470,746.00",2012
USA,Girls Trip,Adventure,6.2,33440,"$19,000,000.00","$140,552,359.00",2017
USA,Sausage Party,Animation,6.1,171982,"$19,000,000.00","$140,705,322.00",2016
USA,Trainwreck,Comedy,6.2,127731,"$35,000,000.00","$140,795,793.00",2015
USA,The Devil's Own,Action,6.2,57594,"$90,000,000.00","$140,807,547.00",1997
USA,The Rugrats Movie,Animation,5.9,17831,"$24,000,000.00","$140,894,675.00",1998
USA,Evita,Biography,6.3,33567,"$55,000,000.00","$141,047,179.00",1996
USA,The SpongeBob SquarePants Movie,Animation,7.1,76845,"$30,000,000.00","$141,067,127.00",2004
USA,Shallow Hal,Comedy,5.9,125517,"$40,000,000.00","$141,069,860.00",2001
USA,Scary Movie 2,Comedy,5.3,147183,"$45,000,000.00","$141,220,678.00",2001
USA,Mona Lisa Smile,Drama,6.5,76236,"$65,000,000.00","$141,337,989.00",2003
USA,Bad Boys,Action,6.9,235440,"$19,000,000.00","$141,407,024.00",1995
USA,Die Hard,Action,8.2,767893,"$28,000,000.00","$141,482,154.00",1988
USA,Big Momma's House 2,Comedy,4.7,39973,"$40,000,000.00","$141,522,961.00",2006
USA,Gothika,Horror,5.8,104744,"$40,000,000.00","$141,591,324.00",2003
USA,National Lampoon's Animal House,Comedy,7.5,109994,"$3,000,000.00","$141,600,000.00",1978
USA,Legally Blonde,Comedy,6.3,180089,"$18,000,000.00","$141,774,679.00",2001
USA,Monster House,Animation,6.6,97611,"$75,000,000.00","$141,861,243.00",2006
USA,New Year's Eve,Comedy,5.7,80243,"$56,000,000.00","$142,044,638.00",2011
USA,Power Rangers,Action,5.9,99986,"$100,000,000.00","$142,337,240.00",2017
USA,The Legend of Zorro,Action,6,91465,"$75,000,000.00","$142,400,065.00",2005
USA,Paranormal Activity 4,Horror,4.6,61190,"$5,000,000.00","$142,802,657.00",2012
USA,Meet Joe Black,Drama,7.2,210620,"$90,000,000.00","$142,940,100.00",1998
USA,Spy Game,Action,7.1,142632,"$115,000,000.00","$143,049,560.00",2001
UK,Garfield: A Tale of Two Kitties,Animation,5,38026,"$60,000,000.00","$143,325,970.00",2006
USA,Pete's Dragon,Action,6.7,52936,"$65,000,000.00","$143,695,338.00",2016
USA,The Beach,Adventure,6.7,219346,"$50,000,000.00","$144,056,873.00",2000
USA,Herbie Fully Loaded,Adventure,4.8,44419,"$50,000,000.00","$144,146,816.00",2005
USA,"Crazy, Stupid, Love.",Comedy,7.4,462833,"$50,000,000.00","$145,051,197.00",2011
USA,The Exorcism of Emily Rose,Drama,6.7,117192,"$19,000,000.00","$145,166,804.00",2005
USA,Home on the Range,Animation,5.4,19812,"$110,000,000.00","$145,358,062.00",2004
UK,The Foreigner,Action,7,96216,"$35,000,000.00","$145,417,936.00",2017
USA,Blades of Glory,Comedy,6.3,155529,"$61,000,000.00","$145,710,347.00",2007
USA,Driving Miss Daisy,Drama,7.3,97002,"$7,500,000.00","$145,793,296.00",1989
China,Time Raiders,Adventure,4.8,739,"$175,000,000.00","$145,819,137.00",2016
USA,Music and Lyrics,Comedy,6.5,95415,"$40,000,000.00","$145,896,422.00",2007
USA,Star Trek: First Contact,Action,7.6,116079,"$45,000,000.00","$146,027,888.00",1996
Canada,Mama,Horror,6.2,166729,"$15,000,000.00","$146,428,180.00",2013
USA,Angel Has Fallen,Action,6.4,72741,"$40,000,000.00","$146,661,977.00",2019
USA,The Last Witch Hunter,Action,6,92948,"$90,000,000.00","$146,936,910.00",2015
USA,Planes: Fire & Rescue,Animation,6,16263,"$50,000,000.00","$146,965,787.00",2014
USA,Swordfish,Action,6.5,174509,"$102,000,000.00","$147,080,413.00",2001
USA,Source Code,Action,7.5,476758,"$32,000,000.00","$147,332,697.00",2011
UK,Arthur Christmas,Animation,7.1,49050,"$100,000,000.00","$147,419,472.00",2011
France,Resident Evil: Extinction,Action,6.3,180851,"$45,000,000.00","$147,717,833.00",2007
Canada,Saw II,Horror,6.6,229054,"$4,000,000.00","$147,748,505.00",2005
Finland,The Angry Birds Movie 2,Animation,6.4,19452,"$65,000,000.00","$147,792,047.00",2019
USA,The Mexican,Adventure,6.1,101689,"$57,000,000.00","$147,845,033.00",2001
USA,The Game Plan,Comedy,6.1,57633,"$22,000,000.00","$147,880,543.00",2007
USA,Spy Kids,Action,5.5,106395,"$35,000,000.00","$147,934,180.00",2001
USA,RED 2,Action,6.6,157061,"$84,000,000.00","$148,075,565.00",2013
USA,Seabiscuit,Drama,7.3,65913,"$87,000,000.00","$148,336,445.00",2003
UK,King Arthur: Legend of the Sword,Action,6.7,187078,"$175,000,000.00","$148,675,066.00",2017
USA,Lights Out,Drama,6.3,111742,"$4,900,000.00","$148,868,835.00",2016
USA,Charlotte's Web,Adventure,6.3,36300,"$85,000,000.00","$148,963,822.00",2006
USA,Death Becomes Her,Comedy,6.6,100720,"$55,000,000.00","$149,022,650.00",1992
Japan,Kari-gurashi no Arietti,Animation,7.6,77612,"$23,000,000.00","$149,184,563.00",2010
USA,No Strings Attached,Comedy,6.2,209640,"$25,000,000.00","$149,228,077.00",2011
USA,"Me, Myself & Irene",Comedy,6.6,219069,"$51,000,000.00","$149,270,999.00",2000
USA,Beverly Hills Chihuahua,Adventure,3.8,22408,"$20,000,000.00","$149,292,488.00",2008
USA,Friends with Benefits,Comedy,6.5,334204,"$35,000,000.00","$149,542,245.00",2011
USA,Jack and Jill,Comedy,3.3,76576,"$79,000,000.00","$149,673,788.00",2011
USA,The General's Daughter,Crime,6.4,52364,"$95,000,000.00","$149,705,852.00",1999
USA,I Am Number Four,Action,6.1,225100,"$60,000,000.00","$149,878,437.00",2011
USA,The Taking of Pelham 123,Action,6.4,183216,"$100,000,000.00","$150,166,126.00",2009
USA,Broken Arrow,Action,6.1,89434,"$50,000,000.00","$150,270,147.00",1996
USA,Gods of Egypt,Action,5.4,103173,"$140,000,000.00","$150,680,864.00",2016
USA,Step Up 2: The Streets,Drama,6.2,78880,"$17,500,000.00","$150,988,382.00",2008
USA,The Bone Collector,Crime,6.7,151519,"$73,000,000.00","$151,493,655.00",1999
USA,Red Sparrow,Action,6.6,159357,"$69,000,000.00","$151,572,634.00",2018
USA,47 Ronin,Action,6.3,143667,"$175,000,000.00","$151,783,839.00",2013
USA,Bad Grandpa,Comedy,6.5,88339,"$15,000,000.00","$151,826,547.00",2013
USA,Romeo + Juliet,Drama,6.7,206404,"$14,500,000.00","$151,842,560.00",1996
USA,Big,Comedy,7.3,193630,"$18,000,000.00","$151,927,281.00",1988
USA,Surf's Up,Animation,6.7,67541,"$100,000,000.00","$152,005,713.00",2007
USA,Congo,Action,5.3,41486,"$50,000,000.00","$152,022,101.00",1995
USA,Phenomenon,Drama,6.4,73669,"$32,000,000.00","$152,036,382.00",1996
USA,Vantage Point,Action,6.6,143518,"$40,000,000.00","$152,039,882.00",2008
USA,Date Night,Comedy,6.3,150419,"$55,000,000.00","$152,263,880.00",2010
USA,A Time to Kill,Crime,7.5,128589,"$40,000,000.00","$152,266,007.00",1996
USA,Backdraft,Action,6.7,70047,"$40,000,000.00","$152,368,585.00",1991
UK,Chocolat,Drama,7.2,175310,"$25,000,000.00","$152,699,946.00",2000
USA,Tower Heist,Action,6.2,131289,"$75,000,000.00","$152,930,623.00",2011
USA,The Devil's Advocate,Drama,7.5,323502,"$57,000,000.00","$152,944,660.00",1997
UK,Yesterday,Comedy,6.8,105230,"$26,000,000.00","$153,009,121.00",2019
UK,Darkest Hour,Biography,7.4,165715,"$30,000,000.00","$153,129,891.00",2017
USA,Sweeney Todd: The Demon Barber of Fleet Street,Drama,7.3,337635,"$50,000,000.00","$153,383,627.00",2007
USA,Another 48 Hrs.,Action,5.9,37624,"$38,000,000.00","$153,518,974.00",1990
USA,Gremlins,Comedy,7.3,191971,"$11,000,000.00","$153,629,030.00",1984
USA,Free Willy,Adventure,6,67526,"$20,000,000.00","$153,698,625.00",1993
Spain,Midnight in Paris,Comedy,7.7,380128,"$17,000,000.00","$153,959,590.00",2011
USA,The Town,Crime,7.5,344976,"$37,000,000.00","$154,026,136.00",2010
USA,Kill Bill: Vol. 2,Action,8,668215,"$30,000,000.00","$154,116,796.00",2004
USA,Ride Along,Action,6.2,100500,"$25,000,000.00","$154,468,902.00",2014
UK,The Phantom of the Opera,Drama,7.2,114669,"$70,000,000.00","$154,648,887.00",2004
UK,Green Zone,Action,6.8,127645,"$100,000,000.00","$154,711,438.00",2010
USA,Lone Survivor,Action,7.5,261546,"$40,000,000.00","$154,802,912.00",2013
USA,Cool Runnings,Adventure,7,90506,"$14,000,000.00","$154,856,263.00",1993
USA,Maid in Manhattan,Comedy,5.3,82799,"$55,000,000.00","$154,906,693.00",2002
Germany,Blade II,Action,6.7,196524,"$54,000,000.00","$155,010,032.00",2002
USA,The Accountant,Action,7.3,253669,"$44,000,000.00","$155,160,045.00",2016
USA,Dreamgirls,Drama,6.5,67641,"$70,000,000.00","$155,430,335.00",2006
USA,Monster-in-Law,Comedy,5.6,55526,"$43,000,000.00","$155,457,327.00",2005
USA,Hannah Montana: The Movie,Comedy,4.5,38996,"$30,000,000.00","$155,545,279.00",2009
USA,Escape Room,Action,6.3,77941,"$9,000,000.00","$155,712,077.00",2019
USA,The Hateful Eight,Crime,7.8,499070,"$44,000,000.00","$155,762,510.00",2015
USA,Rocky Balboa,Action,7.1,200694,"$24,000,000.00","$155,929,020.00",2006
USA,The Sting,Comedy,8.3,236285,"$5,500,000.00","$156,000,000.00",1973
UK,Licence to Kill,Action,6.6,92408,"$32,000,000.00","$156,167,015.00",1989
USA,This Means War,Action,6.3,173788,"$65,000,000.00","$156,491,279.00",2012
France,Under Siege,Action,6.5,74910,"$35,000,000.00","$156,563,139.00",1992
USA,Mystic River,Crime,7.9,411389,"$25,000,000.00","$156,595,191.00",2003
USA,The Monuments Men,Comedy,6.1,122890,"$70,000,000.00","$156,706,638.00",2014
USA,P.S. I Love You,Comedy,7,197974,"$30,000,000.00","$156,835,339.00",2007
China,Yip Man 3,Action,7.1,47190,"$36,000,000.00","$157,029,618.00",2015
USA,The Book of Eli,Action,6.9,288327,"$80,000,000.00","$157,107,755.00",2010
USA,Crimson Tide,Action,7.3,99265,"$53,000,000.00","$157,387,195.00",1995
USA,Hustlers,Comedy,6.3,76903,"$20,000,000.00","$157,563,598.00",2019
USA,Don't Breathe,Crime,7.1,212761,"$9,900,000.00","$157,830,487.00",2016
USA,Final Destination 5,Horror,5.8,104624,"$40,000,000.00","$157,887,643.00",2011
USA,Days of Thunder,Action,6,77514,"$60,000,000.00","$157,920,733.00",1990
USA,Goosebumps,Adventure,6.3,78543,"$58,000,000.00","$158,260,952.00",2015
USA,Sin City,Crime,8,733158,"$40,000,000.00","$158,733,820.00",2005
USA,Focus,Comedy,6.6,212459,"$50,100,000.00","$158,762,963.00",2015
USA,The Fast and the Furious: Tokyo Drift,Action,6,236524,"$85,000,000.00","$158,964,610.00",2006
UK,Johnny English Strikes Again,Action,6.2,60393,"$25,000,000.00","$158,970,776.00",2018
USA,Unforgiven,Drama,8.2,367365,"$14,400,000.00","$159,157,447.00",1992
Australia,Happy Feet Two,Animation,5.9,40908,"$135,000,000.00","$159,196,936.00",2011
USA,Daylight,Action,5.9,65157,"$80,000,000.00","$159,212,469.00",1996
USA,Step Up 3D,Drama,6.2,55115,"$30,000,000.00","$159,291,809.00",2010
USA,The Jackal,Action,6.4,104727,"$60,000,000.00","$159,330,280.00",1997
USA,The Sound of Music,Biography,8,198561,"$8,200,000.00","$159,413,574.00",1965
USA,Stepmom,Comedy,6.8,59467,"$50,000,000.00","$159,710,793.00",1998
USA,21,Crime,6.8,225698,"$35,000,000.00","$159,808,370.00",2008
USA,Norbit,Comedy,4.1,67266,"$60,000,000.00","$159,814,490.00",2007
USA,Alien³,Action,6.5,271736,"$50,000,000.00","$159,814,498.00",1992
UK,Johnny English Reborn,Action,6.3,117884,"$45,000,000.00","$160,078,586.00",2011
USA,Lara Croft Tomb Raider: The Cradle of Life,Action,5.6,128291,"$95,000,000.00","$160,099,222.00",2003
USA,Underworld Awakening,Action,6.4,144040,"$70,000,000.00","$160,112,671.00",2012
USA,The War of the Roses,Comedy,6.8,47221,"$26,000,000.00","$160,188,546.00",1989
UK,"Three Billboards Outside Ebbing, Missouri",Comedy,8.2,411693,"$15,000,000.00","$160,192,031.00",2017
UK,Johnny English,Action,6.2,145084,"$40,000,000.00","$160,466,000.00",2003
USA,The Predator,Action,5.3,113053,"$88,000,000.00","$160,542,134.00",2018
USA,Legends of the Fall,Drama,7.5,144839,"$30,000,000.00","$160,638,883.00",1994
USA,Freaky Friday,Comedy,6.2,122538,"$20,000,000.00","$160,846,332.00",2003
USA,Born on the Fourth of July,Biography,7.2,96505,"$14,000,000.00","$161,001,698.00",1989
USA,Alien: Resurrection,Action,6.2,224408,"$75,000,000.00","$161,376,069.00",1997
USA,Unbroken,Biography,7.2,142962,"$65,000,000.00","$161,459,297.00",2014
USA,Into the Storm,Action,5.8,63863,"$50,000,000.00","$161,502,194.00",2014
USA,Payback,Action,7.1,129729,"$90,000,000.00","$161,626,121.00",1999
USA,Flight,Drama,7.3,319918,"$31,000,000.00","$161,772,375.00",2012
USA,Scream 3,Horror,5.6,121153,"$40,000,000.00","$161,834,276.00",2000
USA,Limitless,Sci-Fi,7.4,519061,"$27,000,000.00","$161,849,455.00",2011
USA,Insidious: Chapter 2,Horror,6.6,151336,"$5,000,000.00","$161,919,318.00",2013
China,Jack Reacher: Never Go Back,Action,6.1,134242,"$60,000,000.00","$162,146,076.00",2016
UK,Eyes Wide Shut,Drama,7.4,294691,"$65,000,000.00","$162,242,684.00",1999
USA,Memoirs of a Geisha,Drama,7.4,136390,"$85,000,000.00","$162,242,962.00",2005
USA,The Magnificent Seven,Action,6.9,181236,"$90,000,000.00","$162,360,636.00",2016
USA,27 Dresses,Comedy,6.1,151643,"$30,000,000.00","$162,655,351.00",2008
USA,Dick Tracy,Action,6.1,56659,"$47,000,000.00","$162,738,726.00",1990
UK,The Interpreter,Crime,6.4,96245,"$80,000,000.00","$162,944,923.00",2005
USA,The Island,Action,6.8,297368,"$126,000,000.00","$162,949,164.00",2005
USA,World Trade Center,Drama,5.9,76697,"$65,000,000.00","$163,247,198.00",2006
USA,Talladega Nights: The Ballad of Ricky Bobby,Comedy,6.6,164356,"$72,500,000.00","$163,362,095.00",2006
USA,The Happening,Drama,5,193156,"$48,000,000.00","$163,403,799.00",2008
Japan,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,Animation,6.3,39220,"$30,000,000.00","$163,644,662.00",1998
USA,Burn After Reading,Comedy,7,304043,"$37,000,000.00","$163,728,902.00",2008
