country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
Mongolia,Tayna Chingis Khaana,2009,History,4.5,413,1193802.0
France,Tokyo!,2008,Comedy,7.1,9521,1194397.0
USA,Repentance,2013,Drama,4.9,2299,1194961.0
Belgium,Numéro une,2017,Drama,5.9,476,1195004.0
Denmark,MGP Missionen,2013,Family,5.5,126,1195034.0
Hong Kong,Lan Kwai Fong 3,2014,Comedy,4.3,308,1195656.0
India,Kanthaswamy,2009,Action,5.0,1493,1196172.0
Taiwan,Yi yi,2000,Drama,8.2,19761,1196218.0
UK,Sammy and Rosie Get Laid,1987,Comedy,6.6,1340,1196336.0
Greece,Psyhraimia,2007,Comedy,4.5,514,1196470.0
Germany,Der Hauptmann,2017,Drama,7.4,12028,1196669.0
France,Celle que j'aime,2009,Comedy,4.7,195,1196933.0
Italy,La mia vita a stelle e strisce,2003,Comedy,5.0,248,1197373.0
Turkey,Öteki Taraf,2017,Drama,6.1,1568,1197507.0
India,No Entry,2005,Comedy,6.6,10454,1197530.0
Germany,Anon,2018,Crime,6.1,35705,1197741.0
USA,Phantom,2013,Drama,5.9,13390,1197759.0
South Korea,2424,2002,Action,4.9,101,1197891.0
USA,The Affair of the Necklace,2001,Drama,6.1,4991,1198113.0
Czech Republic,Vejska,2014,Comedy,5.5,283,1198449.0
India,Patiala House,2011,Drama,5.6,8555,1198495.0
China,Tong que tai,2012,Drama,5.6,1804,1199568.0
France,Victor,2009,Comedy,5.0,205,1199837.0
France,L'armée du crime,2009,Drama,6.7,3021,1199877.0
Czech Republic,Ghoul,2015,Horror,4.5,1560,1200097.0
France,"Mektoub, My Love: Canto Uno",2017,Comedy,6.4,2682,1200387.0
France,Ma vie n'est pas une comédie romantique,2007,Comedy,6.0,370,1200416.0
Romania,"Oh, Ramona!",2019,Comedy,4.9,7598,1200582.0
France,À la petite semaine,2003,Comedy,6.4,385,1202146.0
UK,Boy A,2007,Drama,7.6,36390,1202375.0
UK,Keepers,2018,Crime,5.8,12934,1202522.0
Japan,Heaven's Door,2009,Drama,6.5,229,1202681.0
Serbia,Mali Budo,2014,Comedy,6.1,2145,1202777.0
Czech Republic,Ve stínu,2012,Crime,7.1,1620,1202940.0
India,Mumbai Meri Jaan,2008,Drama,7.7,5756,1203043.0
Finland,Jag saknar dig,2011,Drama,6.0,960,1203153.0
USA,In the Land of Blood and Honey,2011,Drama,4.5,33210,1203699.0
South Korea,Byutipul seondei,2007,Thriller,5.7,105,1203727.0
USA,Malicious,2018,Horror,5.0,3084,1204393.0
Russia,Na rayone,2018,Biography,2.6,330,1204844.0
USA,Meek's Cutoff,2010,Drama,6.5,12000,1205257.0
Egypt,Hayati Mebahdelah,2015,Comedy,2.9,169,1205339.0
UK,Alone in Berlin,2016,Drama,6.5,7790,1205598.0
