country,original_title,year,genre,avg_vote,worlwide_gross_income
USA,Speed,1994,Action,7.2,350448145
India,Alai Payuthey,2000,Drama,8.3,350000000
USA,Dinosaur,2000,Animation,6.5,349822765
USA,Mary Poppins Returns,2018,Comedy,6.7,349545966
USA,Deep Impact,1998,Action,6.2,349464664
USA,The Lorax,2012,Animation,6.4,348840316
USA,The Maze Runner,2014,Action,6.8,348319861
USA,The Smurfs 2,2013,Animation,5.3,347545360
USA,National Treasure,2004,Action,6.9,347512318
Hong Kong,Rush Hour 2,2001,Action,6.6,347325802
USA,Trolls,2016,Animation,6.5,346864462
China,xXx: Return of Xander Cage,2017,Action,5.2,346118277
USA,Pocahontas,1995,Animation,6.7,346079773
USA,How the Grinch Stole Christmas,2000,Comedy,6.2,345141403
USA,Star Trek Beyond,2016,Action,7.1,343471816
USA,Alvin and the Chipmunks: Chipwrecked,2011,Animation,4.3,342695435
India,Aagadu,2014,Action,5.4,342500000
USA,Wanted,2008,Action,6.7,342463063
USA,The Flintstones,1994,Comedy,4.9,341631208
USA,A Quiet Place,2018,Drama,7.5,340949169
USA,Enchanted,2007,Animation,7,340487652
India,Pichaikkaran,2016,Action,7.6,340000000
USA,Over the Hedge,2006,Animation,6.7,339795890
USA,300: Rise of an Empire,2014,Action,6.2,337580051
USA,Batman Forever,1995,Action,5.4,336567531
USA,Prince of Persia: The Sands of Time,2010,Action,6.6,336365676
USA,Back to the Future Part II,1989,Adventure,7.8,335973020
USA,The Curious Case of Benjamin Button,2008,Drama,7.8,335802786
USA,Journey 2: The Mysterious Island,2012,Action,5.8,335260290
USA,The Rock,1996,Action,7.4,335062621
USA,The Great Wall,2016,Action,5.9,334933831
France,Now You See Me 2,2016,Action,6.5,334897606
China,Xiu xiu de tie quan,2017,Comedy,6.2,334530869
USA,Fantastic Four,2005,Action,5.7,333535934
USA,Indiana Jones and the Temple of Doom,1984,Action,7.6,333107271
UK,Tomorrow Never Dies,1997,Action,6.5,333011068
USA,The Good Dinosaur,2015,Animation,6.7,332207671
