production_company,year,original_title
AwesomenessTV Production,2016,1
Awesometown Entertainment,2015,1
Axiom Live Media,2016,1
Axiom Movie Production Company,2018,1
Axis Pacific Filmworks,2012,1
Azevedo Studios,2016,1
Azro Media,2015,1
Azurelite Pictures,2010,1
B Story,2017,1
B.P.A. Productions,2013,1
B22 Films,2020,1
B2FX,2014,1
B4 Films,2015,1
BAPart Films,2013,1
BAR Productions,2013,1
BB Film Productions,2010,1
BB Film Productions,2013,1
BB Film Productions,2014,1
BB Film Productions,2015,2
BBA Studios,2014,1
BBCG Films,2015,1
BBL Motion Picture Studios,2014,1
BBL Productions,2016,1
BCDF Pictures,2011,1
BCDF Pictures,2012,2
BCDF Pictures,2013,1
BCDF Pictures,2016,1
BCDF Pictures,2017,1
BCDF Pictures,2018,1
BCDF Pictures,2019,1
BCDF Pictures,2020,1
BD America,2017,1
BEL AIR-Pictures (Los Angeles),2013,1
BET Films,2018,1
BET Films,2019,1
BET Films,2020,1
BFI Film Fund,2016,1
BFM Creative,2010,1
BHHorrorMovie,2019,1
BIC Media Solutions,2015,1
BIC Production,2018,1
BKG2H Productions,2017,1
BKGTH Productions,2012,1
BLT,2011,1
BN Films,2015,1
BRG Films,2017,1
BRIC TV,2018,1
BRON Studios,2014,1
BRON Studios,2015,2
BRON Studios,2017,1
BRON Studios,2019,3
BV Productions,2013,1
BWV Productions,2014,1
BYT MEdia,2017,1
Babaloo Studios,2013,1
Babaloo Studios,2014,1
Baby Way Productions,2014,1
Bacchus Entertainment,2010,1
Backlash Films,2010,1
Backlit Pictures,2012,1
Backrow Studios,2014,1
Backup Media,2016,1
Backup Media,2018,1
Backward Slate Productions,2017,1
Backyard Films,2014,1
Backyard Films,2017,1
Backyard Shed Films,2012,1
Bad Amigo Pictures,2018,1
Bad Beard,2018,1
Bad Cop Bad Cop Film Productions,2012,1
Bad Hat Harry Productions,2014,1
Bad Idea,2018,1
Bad Medicine Films,2017,1
Bad Parents,2012,1
Bad Rack Entertainment,2018,1
Bad Robot,2010,1
Bad Robot,2018,1
Bad Theology,2016,1
BadFritter Films,2016,1
Badger Films,2014,1
Badhouse Studios Mexico,2014,1
Badhouse Studios Mexico,2017,1
Badlands Entertainment,2018,1
Badlands Features,2016,1
Badlands Features,2019,1
Bag Of Cats Productions,2015,1
Bagboy Productions,2013,1
Bahr Productions Inc.,2012,1
Bahr Productions Inc.,2014,1
Baked Industries,2014,1
Baked Studios,2019,2
Baldacci Entertainment,2013,1
Balding Penguin,2016,1
Ball & Chain Productions,2017,1
Ball & Chain Productions,2019,1
Ball Four Productions,2017,1
Ballet Diesel Films,2013,1
Ballistic,2016,1
Bammo,2012,1
Banana Seat Films,2011,1
Bandaresa Entertainment,2020,1
Bandersnatch FilmCo,2012,1
Bandit Motion Pictures,2016,2
Bandit Motion Pictures,2017,1
Bandwagon Media,2020,1
Bangor Films,2010,1
Bangor Films,2012,1
Bangor Films,2013,1
Bank Street Films,2016,1
Baral Waley Productions,2017,1
Barbara Barrielle Productions,2017,1
Barbed Wire Films,2017,1
Barbed Wire Films,2018,1
Barcode Films,2013,1
Barenholtz Productions,2018,1
Barking Cow Media Group,2016,1
Barking Cow Media Group,2017,1
Barley Sober Media Partners,2016,1
Barnholtz Entertainment,2011,2
Barnholtz Entertainment,2013,1
Barnholtz Entertainment,2015,1
Barnofo,2018,1
Baron Jay Film Group,2015,1
Barron Perter Productions,2017,1
Barry Films,2019,1
Base Productions,2014,1
Basmati Blues,2017,1
Bass Entertainment Pictures,2010,2
Bauhaus Media Group,2014,1
Baumant Entertainment,2013,1
Baumant Entertainment,2014,1
Baumant Entertainment,2016,1
Baumgarten Films,2012,2
Bay Bridge Productions Inc.,2013,1
Bay Bridge Productions Inc.,2016,1
Bay Bridge Productions Inc.,2017,1
Bay Films,2019,1
Bay Ridge Films,2010,1
Bay Ridge Films,2013,1
Bayou Pictures,2019,1
Bazelevs Production,2019,1
Be Your Own Hollywood,2010,1
Be Your Own Hollywood,2014,1
Be Your Own Hollywood,2015,1
Be Your Own Hollywood,2016,1
Be Your Own Hollywood,2017,1
BeWILdered Media Productions,2016,1
Beachside Films,2015,1
Beachside Films,2016,1
Beachside Films,2017,2
Beachside Films,2018,1
Beachwood Park Films,2016,1
Beachwood Park Films,2018,1
Beachwood Pictures,2016,1
Beacon Films,2014,1
Beacon Pictures,2011,1
Beacon Pictures,2017,1
Bear Bear Productions (II),2019,1
BearCity Limits,2010,1
BearCity Limits II,2012,1
Beard Collins Shores Productions,2013,1
Beard Collins Shores Productions,2017,1
Bearfruit Films,2014,1
Bearfruit Films,2016,1
Beast Mode Pictures,2017,1
Beat Pirate Films,2010,1
Beautiful Feet Productions,2016,1
Beautiful Lie Pictures,2013,1
Beautiful Machine,2010,1
Beautiful Ones Productions,2017,1
Beck Woods,2019,1
Bedrocket Media Ventures,2012,1
Beech Hill Films,2010,1
Beech Hill Films,2018,1
Before The Door Pictures,2011,1
Before The Door Pictures,2013,1
Before The Door Pictures,2017,2
Behind The Wall Productions,2010,1
Behind the Curtain Media,2019,1
