country,original_title,year,genre,avg_vote,votes,budget,worlwide_gross_income
"Canada, USA",Dolphin Tale,2011,"Drama, Family",6.9,22043,37000000.0,95943453.0
USA,Think Like a Man,2012,"Comedy, Romance",6.6,43236,12000000.0,96070507.0
USA,The 6th Day,2000,"Action, Mystery, Sci-Fi",5.9,115106,82000000.0,96085477.0
USA,The Manchurian Candidate,2004,"Drama, Mystery, Sci-Fi",6.6,102113,80000000.0,96105910.0
"USA, Japan",The Tigger Movie,2000,"Animation, Comedy, Drama",6.3,16852,30000000.0,96159800.0
"UK, USA, China",Kick-Ass,2010,"Action, Comedy, Crime",7.6,517708,30000000.0,96188903.0
USA,Red Eye,2005,Thriller,6.4,111273,26000000.0,96258201.0
"USA, UK, France",Contraband,2012,"Action, Crime, Drama",6.5,115327,25000000.0,96262212.0
"Spain, USA",Vicky Cristina Barcelona,2008,"Comedy, Drama, Romance",7.1,238906,15500000.0,96409300.0
USA,13 Going on 30,2004,"Comedy, Fantasy, Romance",6.2,162285,37000000.0,96455697.0
"USA, Hungary, Italy",The Rite,2011,"Drama, Horror, Mystery",6.0,89627,37000000.0,96560591.0
USA,Christmas with the Kranks,2004,"Comedy, Family",5.4,41002,60000000.0,96593018.0
"Germany, USA",8MM,1999,"Crime, Drama, Mystery",6.5,121728,40000000.0,96618699.0
USA,Old Dogs,2009,"Comedy, Family",5.4,35916,35000000.0,96753696.0
USA,Steel Magnolias,1989,"Comedy, Drama, Romance",7.3,46226,15000000.0,96759512.0
USA,The Jewel of the Nile,1985,"Action, Adventure, Comedy",6.2,49754,25000000.0,96773200.0
"USA, Canada",The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",7.6,444298,13000000.0,96822421.0
USA,Star Trek VI: The Undiscovered Country,1991,"Action, Adventure, Sci-Fi",7.2,68998,30000000.0,96888996.0
"USA, Canada, Hong Kong",The Shack,2017,"Drama, Fantasy",6.3,29510,20000000.0,96942115.0
"Ireland, UK, France, Germany, USA",Enemy at the Gates,2001,"Drama, History, War",7.6,238274,68000000.0,96976270.0
"UK, Germany, USA",Rush,2013,"Action, Biography, Drama",8.1,422909,38000000.0,96983009.0
"China, Japan, Hong Kong",Kûkai,2017,"Adventure, Drama, Family",6.2,2179,25000000.0,97051623.0
"USA, UK, Germany",Jarhead,2005,"Action, Biography, Drama",7.0,173187,72000000.0,97076152.0
USA,Scream 4,2011,"Horror, Mystery",6.1,125086,40000000.0,97231420.0
USA,42,2013,"Biography, Drama, Sport",7.5,83372,40000000.0,97470701.0
USA,Evil Dead,2013,"Fantasy, Horror, Thriller",6.5,153997,17000000.0,97542952.0
"France, Canada, Italy, USA, China",Le Petit Prince,2015,"Animation, Adventure, Drama",7.7,55109,81200000.0,97571250.0
USA,Safe Haven,2013,"Drama, Romance, Thriller",6.7,102481,28000000.0,97594140.0
"Canada, USA",A Simple Favor,2018,"Comedy, Crime, Drama",6.8,119489,20000000.0,97644617.0
USA,I Am Sam,2001,Drama,7.7,141155,22000000.0,97818139.0
USA,Phone Booth,2002,"Crime, Thriller",7.0,247774,13000000.0,97837138.0
USA,Fred Claus,2007,"Comedy, Family, Fantasy",5.6,38939,100000000.0,97838349.0
"USA, Canada",Are We There Yet?,2005,"Adventure, Comedy, Family",4.7,28859,32000000.0,97918663.0
South Korea,Sin-gwa ham-kke: In-gwa yeon,2018,"Action, Drama, Fantasy",7.1,4960,35000000000.0,97962238.0
"USA, UK",Paul,2011,"Adventure, Comedy, Sci-Fi",7.0,231589,40000000.0,97984015.0
USA,EverAfter,1998,"Comedy, Drama, Romance",7.0,67976,26000000.0,98005666.0
"USA, Australia",The Thin Red Line,1998,"Drama, War",7.6,169315,52000000.0,98127436.0
USA,Killers,2010,"Action, Comedy, Romance",5.5,85853,75000000.0,98159963.0
"USA, Canada, China",Alpha,2018,"Action, Adventure, Drama",6.7,52735,51000000.0,98203196.0
"Canada, USA",Riddick,2013,"Action, Adventure, Sci-Fi",6.4,151989,38000000.0,98337295.0
USA,Evolution,2001,"Comedy, Sci-Fi",6.1,118060,80000000.0,98376292.0
"USA, Mexico",Predator,1987,"Action, Adventure, Sci-Fi",7.8,364725,15000000.0,98399956.0
"USA, Germany",Crash,2004,"Crime, Drama, Thriller",7.7,415171,6500000.0,98410061.0
USA,The Visit,2015,"Horror, Mystery, Thriller",6.2,110611,5000000.0,98450062.0
USA,The Color Purple,1985,Drama,7.8,76504,15000000.0,98467863.0
USA,Bowfinger,1999,Comedy,6.4,65364,55000000.0,98625775.0
USA,Spotlight,2015,"Biography, Crime, Drama",8.1,406847,20000000.0,98690254.0
"USA, Mexico",Once Upon a Time in Mexico,2003,"Action, Crime, Thriller",6.4,151782,29000000.0,98769390.0
USA,Blue Jasmine,2013,Drama,7.3,189028,18000000.0,99104804.0
"USA, Mexico",Nacho Libre,2006,"Comedy, Family, Sport",5.8,80182,35000000.0,99255460.0
"USA, Hong Kong",Shanghai Noon,2000,"Action, Adventure, Comedy",6.6,117582,55000000.0,99274467.0
USA,The Lucky One,2012,"Drama, Mystery, Romance",6.5,99629,25000000.0,99357138.0
USA,Hellboy,2004,"Action, Fantasy, Horror",6.8,302680,66000000.0,99378985.0
"Japan, USA",Street Fighter,1994,"Action, Adventure, Comedy",4.0,64921,35000000.0,99431786.0
"USA, Canada, UK",Insidious,2010,"Horror, Mystery, Thriller",6.8,271766,1500000.0,99557032.0
"USA, UK",Black Mass,2015,"Biography, Crime, Drama",6.9,164665,53000000.0,99775678.0
USA,The Book of Life,2014,"Animation, Adventure, Comedy",7.3,63206,50000000.0,99783556.0
"USA, Germany, Sweden, Hungary",Atomic Blonde,2017,"Action, Thriller",6.7,171059,30000000.0,100014025.0
"USA, Australia, Switzerland, Canada",Don't Say a Word,2001,"Drama, Mystery, Thriller",6.3,47934,50000000.0,100020092.0
USA,Nim's Island,2008,"Adventure, Family, Fantasy",6.0,32945,37000000.0,100104565.0
"UK, USA, France",Philomena,2013,"Biography, Comedy, Drama",7.6,92808,12000000.0,100129872.0
"Germany, Australia, USA",Where the Wild Things Are,2009,"Adventure, Drama, Family",6.7,99603,100000000.0,100140096.0
USA,Any Given Sunday,1999,"Drama, Sport",6.9,110692,55000000.0,100230832.0
USA,The Good Shepherd,2006,"Drama, History, Thriller",6.7,97190,110000000.0,100266865.0
China,Tang shan da di zhen,2010,"Drama, History",7.5,8564,25000000.0,100297508.0
USA,Tammy,2014,"Comedy, Romance",4.9,47138,20000000.0,100375432.0
USA,Airport,1970,"Action, Drama, Thriller",6.6,17068,10000000.0,100489151.0
Mexico,No se aceptan devoluciones,2013,"Comedy, Drama",7.5,28597,5000000.0,100502638.0
"UK, USA",Life,2017,"Horror, Sci-Fi, Thriller",6.6,202381,58000000.0,100541806.0
USA,Ladder 49,2004,"Action, Drama, Thriller",6.5,54336,55000000.0,100572044.0
"Canada, France, Japan, Australia",Silent Hill,2006,Horror,6.5,210865,50000000.0,100605135.0
USA,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy, Family",6.2,39946,28000000.0,100654149.0
USA,Up Close & Personal,1996,"Drama, Romance",6.2,13288,60000000.0,100688705.0
"USA, Canada",My Bloody Valentine,2009,"Horror, Mystery, Thriller",5.4,52958,15000000.0,100734718.0
USA,Courage Under Fire,1996,"Action, Drama, Mystery",6.6,49330,46000000.0,100860818.0
USA,Little Miss Sunshine,2006,"Comedy, Drama",7.8,431988,8000000.0,101058954.0
USA,Joy,2015,"Biography, Drama",6.6,125572,60000000.0,101134059.0
"USA, Switzerland",The Recruit,2003,"Action, Thriller",6.6,128009,46000000.0,101191884.0
"USA, Germany",Fight Club,1999,Drama,8.8,1807440,63000000.0,101218804.0
"France, USA",Hitman,2007,"Action, Crime, Thriller",6.3,158876,24000000.0,101276318.0
USA,The Time Traveler's Wife,2009,"Drama, Fantasy, Romance",7.1,138570,39000000.0,101344412.0
USA,Mars Attacks!,1996,"Comedy, Sci-Fi",6.3,206535,70000000.0,101371017.0
USA,Miss Congeniality 2: Armed & Fabulous,2005,"Action, Comedy, Crime",5.1,68314,45000000.0,101393569.0
"USA, Germany",Just Married,2003,"Comedy, Romance",5.5,66841,18000000.0,101564935.0
USA,Pineapple Express,2008,"Action, Comedy, Crime",6.9,310971,27000000.0,101624843.0
"USA, Japan",Timecop,1994,"Action, Crime, Sci-Fi",5.9,54690,27000000.0,101646581.0
USA,The Devil Inside,2012,Horror,4.2,34548,1000000.0,101758490.0
USA,Heaven Is for Real,2014,"Biography, Drama, Family",5.8,25440,12000000.0,101888019.0
China,Tie dao fei hu,2016,"Action, Adventure, Comedy",5.8,3688,50000000.0,102205175.0
USA,John Q,2002,"Crime, Drama, Thriller",7.1,121329,36000000.0,102244770.0
"USA, Canada, Japan, France",Dawn of the Dead,2004,"Action, Horror",7.3,230596,26000000.0,102278712.0
USA,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.0,199182,6000000.0,102310639.0
"Canada, USA",The Wild,2006,"Animation, Adventure, Comedy",5.3,23638,80000000.0,102338515.0
USA,Ghosts of Girlfriends Past,2009,"Comedy, Fantasy, Romance",5.8,82511,37500000.0,102366815.0
USA,U.S. Marshals,1998,"Action, Crime, Thriller",6.6,94071,60000000.0,102367405.0
USA,Zombieland,2009,"Adventure, Comedy, Fantasy",7.6,510818,23600000.0,102392080.0
USA,Primal Fear,1996,"Crime, Drama, Mystery",7.7,182015,30000000.0,102616183.0
USA,Project X,2012,Comedy,6.6,186132,12000000.0,102731865.0
"South Africa, USA",Chappie,2015,"Action, Crime, Drama",6.8,226032,49000000.0,102811889.0
USA,Love & Other Drugs,2010,"Comedy, Drama, Romance",6.7,177021,30000000.0,102820008.0
USA,The Cable Guy,1996,"Comedy, Drama, Thriller",6.1,149987,47000000.0,102825796.0
USA,Just Like Heaven,2005,"Comedy, Drama, Fantasy",6.7,97788,58000000.0,102854431.0
"Canada, USA",Jigsaw,2017,"Horror, Mystery",5.8,66035,10000000.0,102952888.0
USA,Working Girl,1988,"Comedy, Drama, Romance",6.8,50560,28000000.0,102956984.0
"UK, Germany, USA",Resident Evil,2002,"Action, Horror, Sci-Fi",6.7,243241,33000000.0,102984862.0
USA,Jimmy Neutron: Boy Genius,2001,"Animation, Action, Adventure",6.0,30154,30000000.0,102992536.0
"UK, China, USA",Transcendence,2014,"Action, Drama, Sci-Fi",6.3,213720,100000000.0,103039258.0
USA,Mary Poppins,1964,"Comedy, Family, Fantasy",7.8,154320,6000000.0,103082283.0
USA,Night School,2018,Comedy,5.6,32865,29000000.0,103105878.0
USA,Guess Who,2005,"Comedy, Romance",5.9,39782,35000000.0,103121466.0
USA,She's All That,1999,"Comedy, Romance",5.9,82824,10000000.0,103166989.0
USA,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",7.7,566487,18000000.0,103215094.0
"Germany, USA",Rugrats in Paris: The Movie - Rugrats II,2000,"Animation, Adventure, Comedy",6.1,10997,30000000.0,103291131.0
USA,Nine to Five,1980,Comedy,6.8,26790,10000000.0,103300143.0
USA,The Stepford Wives,2004,"Comedy, Horror, Sci-Fi",5.3,59624,90000000.0,103370127.0
USA,Ouija,2014,"Horror, Mystery, Thriller",4.5,46883,5000000.0,103687316.0
"USA, Canada",Snake Eyes,1998,"Crime, Mystery, Thriller",6.0,74627,73000000.0,103891409.0
USA,Saw,2004,"Horror, Mystery",7.6,371979,1200000.0,103911669.0
