country,original_title,year,genre,avg_vote,votes,worlwide_gross_income
USA,The Russian Bride,2019,Horror,5.3,2424,5595.0
France,Série noire,1979,Crime,7.6,2527,5633.0
India,Mirchi,2013,Action,7.2,3774,5676.0
Germany,Knockin' on Heaven's Door,1997,Action,8.0,27031,5710.0
USA,Save the Date,2012,Comedy,5.8,6668,5719.0
Italy,I mostri,1963,Comedy,7.5,2110,5743.0
Canada,A Dark Truth,2012,Action,5.6,5736,5750.0
USA,Five Dances,2013,Drama,7.1,2475,5788.0
Puerto Rico,Speed Kills,2018,Action,4.2,2456,5812.0
UK,U.F.O.,2012,Comedy,3.1,3274,5848.0
USA,The Time Machine,1960,Adventure,7.6,35438,5902.0
India,Why Cheat India,2019,Crime,6.0,2224,5926.0
Sweden,Tystnaden,1963,Drama,7.9,17472,5936.0
USA,Cavemen,2013,Comedy,5.3,4302,5948.0
USA,Tell Them Willie Boy Is Here,1969,Drama,6.3,2642,5949.0
Australia,Road Train,2010,Horror,3.8,3514,5964.0
USA,Sorcerer,1977,Adventure,7.7,17202,5972.0
USA,The Men,1950,Drama,7.1,4116,5995.0
USA,Love Object,2003,Drama,6.3,3365,6028.0
West Germany,Die Marquise von O...,1976,Drama,7.2,2200,6048.0
UK,Blowup,1966,Drama,7.6,55097,6066.0
Belgium,Aaltra,2004,Comedy,7.0,2703,6083.0
Japan,Zangiku monogatari,1939,Drama,7.9,3091,6125.0
USA,Sweetwater,2013,Thriller,6.2,5685,6147.0
USA,Emelie,2015,Horror,5.4,13135,6147.0
USA,The Sea Wolf,1941,Adventure,7.5,3207,6192.0
UK,Romeo and Juliet,1968,Drama,7.6,28886,6292.0
UK,Love Never Dies,2012,Drama,6.8,2641,6308.0
UK,Zardoz,1974,Adventure,5.9,19008,6320.0
USA,The Big Heat,1953,Crime,8.0,22911,6324.0
Canada,Inescapable,2012,Action,5.2,2519,6334.0
USA,Forty Guns,1957,Romance,7.0,4515,6344.0
UK,Estranged,2015,Horror,5.4,2087,6357.0
USA,Dreamland,2006,Drama,6.4,2357,6383.0
USA,Freud,1962,Biography,7.3,2347,6388.0
Australia,100 Bloody Acres,2012,Comedy,6.0,3698,6388.0
Sweden,Den blomstertid nu kommer,2018,Action,6.2,6058,6390.0
Australia,The Suicide Theory,2014,Drama,6.5,2423,6434.0
USA,Boxcar Bertha,1972,Crime,6.0,8307,6443.0
USA,Batman and Harley Quinn,2017,Animation,5.9,11064,6448.0
UK,Scum,1979,Crime,7.6,9900,6461.0
USA,Ride,2014,Comedy,5.7,3857,6489.0
USA,Sex and the Single Girl,1964,Comedy,6.5,3568,6490.0
Morocco,"Ali Zaoua, prince de la rue",2000,Drama,7.3,2546,6520.0
USA,Dream Boy,2008,Drama,6.2,3811,6534.0
USA,Most Beautiful Island,2017,Drama,5.7,2872,6582.0
USA,Human Capital,2019,Crime,6.2,4723,6596.0
USA,Shall We Dance,1937,Comedy,7.5,6414,6662.0
India,Commando 2,2017,Action,5.2,2765,6701.0
USA,The Flame and the Arrow,1950,Adventure,7.0,3395,6713.0
USA,After Midnight,2019,Drama,5.3,2083,6713.0
USA,Daddy and Them,2001,Comedy,5.7,2155,6718.0
USA,Pork Chop Hill,1959,Action,7.1,4128,6736.0
France,Le fantôme de la liberté,1974,Comedy,7.9,13903,6749.0
USA,The Gay Divorcee,1934,Comedy,7.5,6797,6750.0
Ireland,The Other Lamb,2019,Drama,5.0,2164,6760.0
USA,Finding Bliss,2009,Comedy,5.3,2365,6783.0
USA,The Paradine Case,1947,Crime,6.6,9841,6789.0
Japan,Noroi,2005,Horror,7.0,9468,6819.0
USA,Farce of the Penguins,2006,Animation,4.1,4685,6832.0
USA,Janie Jones,2010,Biography,6.6,2152,6840.0
USA,Grand Theft Parsons,2003,Adventure,6.0,3324,6876.0
USA,Duck Butter,2018,Comedy,5.3,2882,6877.0
West Germany,Die Blechtrommel,1979,Drama,7.5,21854,6881.0
USA,Black Irish,2007,Drama,7.0,2442,6900.0
Japan,Saikaku ichidai onna,1952,Drama,8.2,5976,6921.0
France,Seul contre tous,1998,Crime,7.4,20168,6955.0
USA,The Clapper,2017,Comedy,5.1,6182,6961.0
Germany,The Wild Blue Yonder,2005,Sci-Fi,6.2,3337,6970.0
UK,And Now for Something Completely Different,1971,Comedy,7.6,28425,6979.0
Canada,Santa's Slay,2005,Comedy,5.3,8873,6982.0
UK,Absolon,2003,Sci-Fi,4.2,2986,7016.0
India,Mathu Vadalara,2019,Comedy,8.2,2208,7035.0
Canada,Good Neighbours,2010,Drama,5.8,5035,7072.0
Italy,Il deserto rosso,1964,Drama,7.6,13412,7076.0
Canada,Stage Fright,2014,Comedy,5.2,4327,7078.0
Sweden,Nattvardsgästerna,1963,Drama,8.1,21361,7095.0
USA,Marnie,1964,Crime,7.2,43655,7095.0
India,Oopiri,2016,Comedy,8.0,4014,7124.0
