country,original_title,year,genre,avg_vote,worlwide_gross_income
USA,300: Rise of an Empire,2014,Action,6.2,337580051.0
USA,Batman Forever,1995,Action,5.4,336567531.0
USA,Prince of Persia: The Sands of Time,2010,Action,6.6,336365676.0
USA,Back to the Future Part II,1989,Adventure,7.8,335973020.0
USA,The Curious Case of Benjamin Button,2008,Drama,7.8,335802786.0
USA,Journey 2: The Mysterious Island,2012,Action,5.8,335260290.0
USA,The Rock,1996,Action,7.4,335062621.0
USA,The Great Wall,2016,Action,5.9,334933831.0
France,Now You See Me 2,2016,Action,6.5,334897606.0
China,Xiu xiu de tie quan,2017,Comedy,6.2,334530869.0
USA,Fantastic Four,2005,Action,5.7,333535934.0
USA,Indiana Jones and the Temple of Doom,1984,Action,7.6,333107271.0
UK,Tomorrow Never Dies,1997,Action,6.5,333011068.0
USA,The Good Dinosaur,2015,Animation,6.7,332207671.0
USA,22 Jump Street,2014,Action,7.0,331333876.0
USA,Meet the Parents,2000,Comedy,7.0,330444045.0
USA,Who Framed Roger Rabbit,1988,Animation,7.7,329803958.0
USA,Black Swan,2010,Drama,8.0,329398046.0
USA,The Perfect Storm,2000,Action,6.4,328718434.0
Australia,'Crocodile' Dundee,1986,Action,6.6,328203506.0
China,Feng kuang de wai xing ren,2019,Comedy,5.7,327598891.0
USA,Se7en,1995,Crime,8.6,327333559.0
USA,John Wick: Chapter 3 - Parabellum,2019,Action,7.5,326709727.0
USA,The Devil Wears Prada,2006,Comedy,6.9,326705902.0
France,Taken 3,2014,Action,6.0,326479141.0
USA,The Hunchback of Notre Dame,1996,Animation,6.9,325338851.0
USA,A Christmas Carol,2009,Animation,6.8,325286646.0
USA,The SpongeBob Movie: Sponge Out of Water,2015,Animation,6.0,325186032.0
USA,Wonder,2017,Drama,8.0,323253714.0
USA,Schindler's List,1993,Biography,8.9,322287794.0
USA,Megamind,2010,Animation,7.2,321885765.0
