production_company,original_title
Bona Film Group,1
BondIt Media Capital,10
Bonfire Films,1
Boo Pictures,2
Boo Reese Productions,1
BoomGates,1
Boomstick Films,1
Boonie Publishing & Productions,1
Boot Strapped Films,1
Border Incident,1
Border Town Pictures,1
BorderLine Films,3
Borderline Cinema,1
Borderline Presents,1
Boricua Films,2
Born & Raised,1
Born Ready Films,1
Borrowtime,1
Boss Media,1
Boston Diva Productions,1
Boston Film Family,1
Bottom Line Entertainment,1
Bottom of the Net Filmworks,1
BoulderLight Pictures,5
Boulevard Pictures,1
Boundless Pictures,1
Bow and Arrow Entertainment,2
Bowl of Spaghetti Entertainment,1
Boxcar Pictures,1
Boxing Cat Films,1
Boy Meets Girl Productions,1
Boy Wonder Films,1
Braeburn Entertainment,1
Brain Farm Digital Cinema,1
BrainMashup Media,1
Brainfeeder Films,2
Brainstorm Media,1
Brainstorm Motion Pictures,1
Brainwave,2
Brand Inc. Entertainment,1
Brand Inc. Entertainment Group,1
Branded Films,1
Branded Pictures Entertainment,3
Brandi Brothers Productions,1
Brannon Pictures,1
Brauer Productions Inc.,2
Braveart Films,1
Braven Films,1
Bravestarr Pictures,1
Bravo Hotel,1
Brayne Studios,1
BreadCrumbs The Movie,1
Break Media,1
Breath of Life Productions,1
Breez Entertainment,1
Breslin Media,1
Brett Kelly Entertainment,1
Brian & Barrett Pictures,1
Bridgegate FIlms,1
Bridgeman Rock,1
Bright Blue Gorilla,1
Bright Horizon Pictures,1
Bright Idea Entertainment,1
Bright Light,2
Bright October Productions,1
Bright Penny Productions,1
Bright Space,1
BrighterMoon Entertainment,1
Brilliant Screen Studios,3
Brillstein Entertainment Partners,1
Brin de Folie,1
Bring Chase Productions,3
Bristol Pictures,1
Brittany House Pictures,3
Broad Green Pictures,5
Broadway Video,5
Broadway Worldwide,1
BroadwayHD,2
Broken Cage Studio,1
Broken Road Productions,3
Broken Time Entertainment,1
Broken Twig Productions Inc.,1
Broken Water Productions,1
"Broken, Beat & Scarred Productions",1
Bronx Born Films,1
Brooklyn Brothers 5,1
Brooklyn Films,1
Brooklyn Reptyle Films,1
BrooklynHazelhurst Inc.,1
BrooklynWorks Films,1
Brookwell-McNamara Entertainment,1
Broom Horse Pictures,1
Brotherhood Pictures,1
Brotherly Love Prods FEJ,1
Brothers In Arms Productions,1
Brothers K Productions,2
Brothers' Ink Productions,1
BrothersCummingsFilm,1
BrownBag Pictures,1
Brownstone Entertainment (II),1
Brownstone Productions (II),3
Browntown Films,1
Brownwell Entertainment,1
Brutal The Movie,1
Bryon Blakey Pictures,1
Bu is Feeling Jai Productions,1
Buck Hagen Productions,1
Buckdog Productions,1
Bucket of Blood Films,1
Buckeye Pictures,1
Buckhead Film Group,1
Buckup Productions,1
Budderfly Productions,5
Buena Vista Negative Cutting,1
Buffalo 8 Productions,6
Buffalo Film Company (II),1
Buffalora Entertainment Group,1
Bugeater Films,2
Bugsby Pictures,1
Bull Lee Films,1
Bullet Entertainment,1
Bullet Pictures,2
Bullwinkle Studios,1
Bump in the Night,1
Burbank Movie Company,1
Burek Films,1
Burk A Project,1
Burn Later Productions,8
Burnin Rubber Music Publishing / Royal Middleton Publishing,1
Burning Blue The Film L.P.,1
Burning Bra Productions,1
Burning Bridge Pictures,1
Burning Myth Productions,1
Burning Sky Films,1
Burning Torch Productions,1
Burns Family Studios,1
Busboy Productions,2
Business Lunch Productions,1
Busted Buggy Entertainment,1
Busted Knuckle Productions,4
Butcher Bird Studios,1
Butler Pictures,1
Butter Stories,1
Buy Here Pay Here Entertainment,1
Buzz Kill,1
BuzzWorm Films,1
By The Glass Productions,1
C Joy Productions,1
C Plus Pictures,3
C and C FILMS,1
C&M Productions.,1
C.S. Drury Productions,1
C47 Productions,1
CASM Films,1
CB Films North,1
