imdb_title_id,original_title,year,genre,country,production_company,duration,votes,budget,usa_gross_income,worldwide_gross_income,rating,metascore
tt4846340,Figures,2016,History,USA,Pictures,127,193340,25000000,169607287,235956898,7.8,74
tt0099077,Awakenings,1990,Drama,USA,Pictures,121,120743,31000000,52096475,52096475,7.8,74
tt0379786,Serenity,2005,Sci-Fi,USA,Pictures,119,279887,39000000,25514517,40445129,7.8,74
tt0240772,Eleven,2001,Thriller,USA,Bros.,116,504464,85000000,183417150,450717150,7.7,74
tt2582496,Girl,2015,Drama,USA,Paintbrush,105,120658,8000000,6758416,9074749,7.7,74
tt0174856,Hurricane,1999,Sport,USA,Entertainment,146,90121,50000000,50699241,73956241,7.6,74
tt0441773,Panda,2008,Adventure,USA,Animation,92,409544,130000000,215434591,631746197,7.5,74
tt0840361,Town,2010,Thriller,USA,Bros.,125,344976,37000000,92186262,154026136,7.5,74
tt0408306,Munich,2005,History,USA,DreamWorks,164,208522,70000000,47403685,130982129,7.5,74
tt0093818,Days,1987,Comedy,USA,Productions,88,30903,16000000,14792779,14792779,7.5,74
tt3263904,Sully,2016,Drama,USA,Films,96,229971,60000000,125070033,240797623,7.4,74
tt1057500,Invictus,2009,History,USA,Bros.,134,147583,60000000,37491364,122426792,7.3,74
tt0110632,Killers,1994,Drama,USA,Bros.,118,212615,34000000,50282766,50282766,7.3,74
tt0108071,Garden,1993,Fantasy,USA,Bros.,101,35877,18000000,31181347,31181347,7.3,74
tt0107206,Fire,1993,Drama,USA,Pictures,128,90512,40000000,102314823,176997168,7.2,74
tt1449283,Pooh,2011,Comedy,USA,Pictures,63,21288,30000000,26692846,49871429,7.2,74
tt0398808,Terabithia,2007,Fantasy,USA,Media,96,140410,17000000,82272442,137587063,7.1,74
tt0080661,Kill,1980,Mystery,USA,Pictures,104,34135,6500000,31899000,31899000,7.1,74
tt0109219,Barcelona,1994,Romance,USA,Films,101,5587,3200000,7266973,7266973,7,74
tt0093200,Shuffle,1987,Comedy,USA,Unicorn,78,4866,100000,5228617,5228617,7,74
tt3104988,Asians,2018,Romance,USA,Bros.,120,133010,30000000,174532921,238538736,6.9,74
tt1142977,Frankenweenie,2012,Family,USA,Pictures,87,95469,39000000,35291068,81491068,6.9,74
tt0076618,Rescuers,1977,Comedy,USA,Studios,78,56808,7500000,71215869,71215869,6.9,74
tt0096316,Dream,1988,Drama,USA,Lucasfilm,110,16241,23000000,19652638,19652638,6.9,74
tt0424095,Away,2006,Comedy,USA,Animations,85,110469,149000000,64665672,178281554,6.6,74
